Code,Description,ParentLevel0Code,ParentLevel0Name,ParentLevel1Code,ParentLevel1Name,ParentLevel2Code,ParentLevel2Name,ParentLevel3Code,ParentLevel3Name,ParentLevel4Code,ParentLevel4Name,ParentLevel5Code,ParentLevel5Name,LoadedAt
P0103,H J Heinz Endowed Student Fund 111875 40266,2000A,Restricted Expendable,2200B,Restricted Gifts B,6000C,Restricted Expendable Gifts,P000D,Restricted Gift Funds UC Davis Foundation Endowment Payout,P0103,H J Heinz Endowed Student Fund 111875 40266,P0103,H J Heinz Endowed Student Fund 111875 40266,2026-07-01 13:38:29.229
14400,Course Materials and Services Fees,1000A,Unrestricted A,1500B,Designated,1440C,Course Materials and Services Fees,1440D,Course Materials and Services Fees D,14400,Course Materials and Services Fees,14400,Course Materials and Services Fees,2026-07-01 13:38:29.229
36327,Schp Com Jastro Mem Endow,2000A,Restricted Expendable,2200B,Restricted Gifts B,7000C,Restricted Endowment Income,7700D,Restricted Endowment Income Regents,36327,Schp Com Jastro Mem Endow,36327,Schp Com Jastro Mem Endow,2026-07-01 13:38:29.229
P0305,Barbara J Van Zandt End 122330 42290,2000A,Restricted Expendable,2200B,Restricted Gifts B,6000C,Restricted Expendable Gifts,P000D,Restricted Gift Funds UC Davis Foundation Endowment Payout,P0305,Barbara J Van Zandt End 122330 42290,P0305,Barbara J Van Zandt End 122330 42290,2026-07-01 13:38:29.229
64074,An Sci Org Res Berger 41054,2000A,Restricted Expendable,2200B,Restricted Gifts B,6000C,Restricted Expendable Gifts,6300D,Restricted Gift Funds UC Davis,64074,An Sci Org Res Berger 41054,64074,An Sci Org Res Berger 41054,2026-07-01 13:38:29.229
06272,Nutrition Kosuna Endowment 06272,2000A,Restricted Expendable,2200B,Restricted Gifts B,8000C,Restricted Funds Functioning as Endowment UCOP and Foundations only,8000D,Restricted FFE Principal Regents ,06272,Nutrition Kosuna Endowment 06272,06272,Nutrition Kosuna Endowment 06272,2026-07-01 13:38:29.229
68818,Nutrition Research Oteiza 45771,2000A,Restricted Expendable,2200B,Restricted Gifts B,6000C,Restricted Expendable Gifts,6300D,Restricted Gift Funds UC Davis,68818,Nutrition Research Oteiza 45771,68818,Nutrition Research Oteiza 45771,2026-07-01 13:38:29.229
76907,Zinc Nutritional Research,2000A,Restricted Expendable,2200B,Restricted Gifts B,6000C,Restricted Expendable Gifts,6300D,Restricted Gift Funds UC Davis,76907,Zinc Nutritional Research,76907,Zinc Nutritional Research,2026-07-01 13:38:29.229
P1878,Carl Keen Graduate Student Award in Nutrition 125354 ,2000A,Restricted Expendable,2200B,Restricted Gifts B,6000C,Restricted Expendable Gifts,P000D,Restricted Gift Funds UC Davis Foundation Endowment Payout,P1878,Carl Keen Graduate Student Award in Nutrition 125354 ,P1878,Carl Keen Graduate Student Award in Nutrition 125354 ,2026-07-01 13:38:29.229
19921,Online Education,2000A,Restricted Expendable,1999B,Specific State Appropriations B,1999C,Specific State Appropriations C,1999D,Specific State Appropriations D,19921,Online Education,19921,Online Education,2026-07-01 13:38:29.229
20402,State and Local Contract Flowthrough,2000A,Restricted Expendable,2000B,ContractsandGrants,2040C,State and Local Contracts and Grants C,2040D,State and Local Contracts and Grants D,20402,State and Local Contract Flowthrough,20402,State and Local Contract Flowthrough,2026-07-01 13:38:29.229
20702,Private Grant Flowthrough,2000A,Restricted Expendable,2000B,ContractsandGrants,2070C,Private ContactsandGrants C,2070D,Private ContactsandGrants D,20702,Private Grant Flowthrough,20702,Private Grant Flowthrough,2026-07-01 13:38:29.229
